rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
154,frame_0368.jpg,147.2,0.3751,0.477,0.4286,0.04,8,3,False,False
155,frame_0220.jpg,88.0,0.3742,0.4649,0.2857,0.28,4,2,False,False
156,frame_0391.jpg,156.4,0.3735,0.3881,0.5714,0.04,8,4,False,False
157,frame_0379.jpg,151.6,0.3716,0.3843,0.5714,0.04,8,4,False,False
158,frame_0021.jpg,8.4,0.3697,0.2537,0.1429,1.0,5,1,False,False
159,frame_0321.jpg,128.4,0.3674,0.3976,0.4286,0.2,6,3,False,False
160,frame_0281.jpg,112.4,0.367,0.4723,0.1429,0.44,5,1,False,False
161,frame_0223.jpg,89.2,0.3664,0.4116,0.4286,0.16,6,3,False,False
162,frame_0081.jpg,32.4,0.3659,0.2723,0.2857,0.72,5,2,False,False
163,frame_0017.jpg,6.8,0.3609,0.236,0.1429,1.0,4,1,False,False
164,frame_0399.jpg,159.6,0.3557,0.4279,0.2857,0.28,7,2,False,False
165,frame_0193.jpg,77.2,0.3556,0.358,0.4286,0.24,6,3,False,False
166,frame_0086.jpg,34.4,0.3551,0.3307,0.2857,0.52,5,2,False,False
167,frame_0113.jpg,45.2,0.3537,0.3543,0.4286,0.24,6,3,False,False
168,frame_0189.jpg,75.6,0.3526,0.416,0.4286,0.08,5,3,False,False
169,frame_0390.jpg,156.0,0.3511,0.3274,0.5714,0.08,6,4,False,False
170,frame_0016.jpg,6.4,0.3499,0.2141,0.1429,1.0,6,1,False,False
171,frame_0373.jpg,149.2,0.3487,0.4619,0.2857,0.16,6,2,False,False
172,frame_0121.jpg,48.4,0.347,0.3842,0.1429,0.56,5,1,False,False
173,frame_0388.jpg,155.2,0.3461,0.3711,0.4286,0.16,9,3,False,False
174,frame_0232.jpg,92.8,0.344,0.3509,0.4286,0.2,5,3,False,False
175,frame_0200.jpg,80.0,0.3426,0.3914,0.1429,0.52,2,1,False,False
176,frame_0192.jpg,76.8,0.3425,0.3478,0.4286,0.2,5,3,False,False
177,frame_0319.jpg,127.6,0.3361,0.3031,0.4286,0.28,7,3,False,False
178,frame_0303.jpg,121.2,0.336,0.3566,0.2857,0.36,5,2,False,False
179,frame_0083.jpg,33.2,0.3328,0.2382,0.2857,0.64,4,2,False,False
180,frame_0301.jpg,120.4,0.3325,0.3175,0.2857,0.44,6,2,False,False
181,frame_0213.jpg,85.2,0.3313,0.3529,0.1429,0.56,3,1,False,False
182,frame_0219.jpg,87.6,0.3311,0.277,0.4286,0.32,5,3,False,False
183,frame_0382.jpg,152.8,0.331,0.3729,0.4286,0.08,7,3,False,False
184,frame_0309.jpg,123.6,0.3299,0.3546,0.4286,0.12,6,3,False,False
185,frame_0370.jpg,148.0,0.3274,0.3816,0.4286,0.04,7,3,False,False
186,frame_0119.jpg,47.6,0.3273,0.2911,0.2857,0.48,5,2,False,False
187,frame_0273.jpg,109.2,0.3273,0.4352,0.2857,0.12,6,2,False,False
